Sınav,Ders,Alan,Konu,Sınav ID,Ders ID,Alan ID,Konu ID
TYT,Türkçe,ANLAM BILGISI,Sözcükte Anlam,tyt,tyt-turkce,tyt-turkce-anlam-bilgisi,tyt-turkce-anlam-bilgisi-sozcukte-anlam
TYT,Türkçe,ANLAM BILGISI,Cümlede Anlam,tyt,tyt-turkce,tyt-turkce-anlam-bilgisi,tyt-turkce-anlam-bilgisi-cumlede-anlam
TYT,Türkçe,ANLAM BILGISI,Paragrafta Anlam,tyt,tyt-turkce,tyt-turkce-anlam-bilgisi,tyt-turkce-anlam-bilgisi-paragrafta-anlam
TYT,Türkçe,DIL BILGISI (SES-YAZIM-NOKTALAMA),Ses Bilgisi,tyt,tyt-turkce,tyt-turkce-dil-bilgisi-ses-yazim-noktalama,tyt-turkce-dil-bilgisi-ses-yazim-noktalama-ses-bilgisi
TYT,Türkçe,DIL BILGISI (SES-YAZIM-NOKTALAMA),Sözcükte Yapı,tyt,tyt-turkce,tyt-turkce-dil-bilgisi-ses-yazim-noktalama,tyt-turkce-dil-bilgisi-ses-yazim-noktalama-sozcukte-yapi
TYT,Türkçe,DIL BILGISI (SES-YAZIM-NOKTALAMA),Yazım Kuralları,tyt,tyt-turkce,tyt-turkce-dil-bilgisi-ses-yazim-noktalama,tyt-turkce-dil-bilgisi-ses-yazim-noktalama-yazim-kurallari
TYT,Türkçe,DIL BILGISI (SES-YAZIM-NOKTALAMA),Noktalama İşaretleri,tyt,tyt-turkce,tyt-turkce-dil-bilgisi-ses-yazim-noktalama,tyt-turkce-dil-bilgisi-ses-yazim-noktalama-noktalama-isaretleri
TYT,Türkçe,DIL BILGISI (SÖZCÜK VE CÜMLE),İsim Soylu Sözcükler,tyt,tyt-turkce,tyt-turkce-dil-bilgisi-sozcuk-ve-cumle,tyt-turkce-dil-bilgisi-sozcuk-ve-cumle-isim-soylu-sozcukler
TYT,Türkçe,DIL BILGISI (SÖZCÜK VE CÜMLE),Fiiller,tyt,tyt-turkce,tyt-turkce-dil-bilgisi-sozcuk-ve-cumle,tyt-turkce-dil-bilgisi-sozcuk-ve-cumle-fiiller
TYT,Türkçe,DIL BILGISI (SÖZCÜK VE CÜMLE),Tamlamalar,tyt,tyt-turkce,tyt-turkce-dil-bilgisi-sozcuk-ve-cumle,tyt-turkce-dil-bilgisi-sozcuk-ve-cumle-tamlamalar
