Sıra,Test,Ders,Soru,Alan,Konu,Konu ID,Güven,Not
1,Türkçe,Türkçe,1,ANLAM BİLGİSİ,Sözcükte Anlam Özelliği,tyt-turkce-anlam-bilgisi-sozcukte-anlam-ozelligi,Yüksek,
2,Türkçe,Türkçe,2,ANLAM BİLGİSİ,Söz Öbekleri,tyt-turkce-anlam-bilgisi-soz-obekleri,Yüksek,
3,Türkçe,Türkçe,3,ANLAM BİLGİSİ,Deyim - Atasözü - İkileme,tyt-turkce-anlam-bilgisi-deyim-atasozu-ikileme,Yüksek,
4,Türkçe,Türkçe,4,ANLAM BİLGİSİ,Sözcükte Anlam Özelliği,tyt-turkce-anlam-bilgisi-sozcukte-anlam-ozelligi,Yüksek,
5,Türkçe,Türkçe,5,ANLAM BİLGİSİ,Cümlede Anlam / Anlam İlişkileri - Anlatım,tyt-turkce-anlam-bilgisi-cumlede-anlam-anlam-iliskileri-anlatim,Yüksek,
6,Türkçe,Türkçe,6,ANLAM BİLGİSİ,Cümlede Anlam / Cümleyi Yorumlama,tyt-turkce-anlam-bilgisi-cumlede-anlam-cumleyi-yorumlama,Yüksek,
7,Türkçe,Türkçe,7,ANLAM BİLGİSİ,Cümlede Anlam / Anlam İlişkileri - Anlatım,tyt-turkce-anlam-bilgisi-cumlede-anlam-anlam-iliskileri-anlatim,Yüksek,
8,Türkçe,Türkçe,8,ANLAM BİLGİSİ,Cümlede Anlam / Anlam İlişkileri - Anlatım,tyt-turkce-anlam-bilgisi-cumlede-anlam-anlam-iliskileri-anlatim,Yüksek,
9,Türkçe,Türkçe,9,"SES, YAZIM, NOKTALAMA VE ANLATIM BOZUKLUĞU",Ses Bilgisi,tyt-turkce-ses-yazim-noktalama-ve-anlatim-bozuklugu-ses-bilgisi,Yüksek,
10,Türkçe,Türkçe,10,DİL BİLGİSİ,Sözcükte Yapı,tyt-turkce-dil-bilgisi-sozcukte-yapi,Yüksek,
11,Türkçe,Türkçe,11,DİL BİLGİSİ,"Edat, Bağlaç, Ünlem",tyt-turkce-dil-bilgisi-edat-baglac-unlem,Yüksek,
12,Türkçe,Türkçe,12,DİL BİLGİSİ,Cümle Türleri,tyt-turkce-dil-bilgisi-cumle-turleri,Yüksek,
13,Türkçe,Türkçe,13,"SES, YAZIM, NOKTALAMA VE ANLATIM BOZUKLUĞU",Yazım Kuralları,tyt-turkce-ses-yazim-noktalama-ve-anlatim-bozuklugu-yazim-kurallari,Yüksek,
14,Türkçe,Türkçe,14,"SES, YAZIM, NOKTALAMA VE ANLATIM BOZUKLUĞU",Yazım Kuralları,tyt-turkce-ses-yazim-noktalama-ve-anlatim-bozuklugu-yazim-kurallari,Yüksek,
15,Türkçe,Türkçe,15,"SES, YAZIM, NOKTALAMA VE ANLATIM BOZUKLUĞU",Noktalama İşaretleri,tyt-turkce-ses-yazim-noktalama-ve-anlatim-bozuklugu-noktalama-isaretleri,Yüksek,
