Sinav,Ders,Alan,Konu,Test1_Soru_Sayisi,Test2_Soru_Sayisi,Test3_Soru_Sayisi,Test4_Soru_Sayisi
TYT,Fizik,FİZİK BİLİMİNE GİRİŞ,Fizik Bilimine Giriş,9,8,8,6
TYT,Fizik,MADDE VE ÖZELLİKLERİ,Madde ve Özellikleri,19,18,11,8
TYT,Fizik,HAREKET VE KUVVET,Hareket,16,16,8,7
TYT,Fizik,HAREKET VE KUVVET,Kuvvet,12,20,8,8
TYT,Fizik,ENERJİ,"İş, Güç ve Enerji",29,28,16,8
TYT,Fizik,ISI VE SICAKLIK,Isı ve Sıcaklık,19,18,10,9
TYT,Fizik,ELEKTROSTATİK,Elektrostatik,17,24,9,8
TYT,Fizik,ELEKTRİK VE MANYETİZMA,Elektrik ve Manyetizma,35,33,25,8
TYT,Fizik,BASINÇ VE KALDIRMA KUVVETİ,Basınç,19,19,8,8
TYT,Fizik,BASINÇ VE KALDIRMA KUVVETİ,Kaldırma Kuvveti,16,16,16,8
TYT,Fizik,DALGALAR,Dalgalar,44,42,32,7
TYT,Fizik,OPTİK,Optik,46,47,31,8
TYT,Matematik,MANTIK,Önermeler ve bileşik önermeler,12,12,12,9
TYT,Matematik,KÜMELER,Kümelerde Temel Kavramlar,8,8,8,8
TYT,Matematik,KÜMELER,Kümelerde işlemler,12,12,12,8
TYT,Matematik,DENKLEMLER VE EŞİTSİZLİKLER,Sayı Kümeleri,8,10,9,10
TYT,Matematik,DENKLEMLER VE EŞİTSİZLİKLER,Bölünebilme Kuralları,12,12,8,8
TYT,Matematik,DENKLEMLER VE EŞİTSİZLİKLER,Birinci dereceden denklemler ve eşitsizlikler,22,22,11,10
TYT,Matematik,DENKLEMLER VE EŞİTSİZLİKLER,Üslü İfadeler ve Denklemler,15,16,12,11
TYT,Matematik,DENKLEMLER VE EŞİTSİZLİKLER,Denklemler ve Eşitsizliklerle İlgili Uygulamalar,34,33,32,11
TYT,Matematik,ÜÇGENLER,Üçgenlerde temel kavramlar,8,8,8,8
TYT,Matematik,ÜÇGENLER,Üçgenlerde eşlik ve benzerlik,17,18,9,9
